"2014-08-31 08:29:40",EventLogger,log_opened,"Log opened upon Event Logger startup." 
"2014-08-31 09:07:16","Client:1000000012","client-connected","98.115.168.25:61357","192.168.2.7:7198"
"2014-08-31 09:07:16","AIR:1000000",accountLogin,1000000012,100000030,dead
"2014-08-31 09:07:34","AIR:1000000",avatarChosen,100000032,100000030
"2014-08-31 09:07:36","AIR:401000000","disconnect-reason",100000034,2
"2014-08-31 09:07:37","Client:1000000011","client-disconnected"
"2014-08-31 09:07:37","AIR:401000000",avatarExit,100000034,
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000050,"2000|18"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000056,"2000|14"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000063,"2000|16"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000069,"2000|21"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000075,"2000|13"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000104,"2100|1"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000110,"2100|2"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000115,"2100|3"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000121,"2100|4"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000127,"2100|6"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000132,"2100|7"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000138,"2100|10"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000144,"2100|11"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000149,"2100|16"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000155,"2100|18"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000161,"2100|17"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000167,"2100|21"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000173,"2100|24"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000179,"2100|25"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000185,"2100|26"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000191,"2100|29"
"2014-08-31 09:08:14","AIR:401000000","building-cog",401000197,"2100|32|s|3"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000199,"2100|33"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000205,"2100|38"
"2014-08-31 09:08:14","AIR:401000000","building-cog",401000210,"2100|57|c|1"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000212,"2100|39"
"2014-08-31 09:08:14","AIR:401000000","building-toon",401000218,"2100|43"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000224,"2100|44"
"2014-08-31 09:08:15","AIR:401000000","building-cog",401000230,"2100|49|c|1"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000232,"2100|60"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000238,"2100|52"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000243,"2100|53"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000248,"2100|55"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000254,"2100|54"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000260,"2100|56"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000266,"2100|59"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000272,"2100|61"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000278,"2100|67"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000284,"2100|63"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000289,"2100|62"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000295,"2100|64"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000301,"2100|66"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000307,"2100|65"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000313,"2100|69"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000319,"2100|70"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000334,"2200|1"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000339,"2200|4"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000344,"2200|5"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000350,"2200|8"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000356,"2200|43"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000361,"2200|44"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000366,"2200|11"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000372,"2200|12"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000378,"2200|13"
"2014-08-31 09:08:15","AIR:401000000","building-cog",401000384,"2200|14|l|2"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000386,"2200|16"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000392,"2200|48"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000397,"2200|17"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000403,"2200|20"
"2014-08-31 09:08:15","AIR:401000000","building-cog",401000409,"2200|39|l|2"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000411,"2200|25"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000416,"2200|27"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000422,"2200|28"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000428,"2200|30"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000434,"2200|29"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000440,"2200|31"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000445,"2200|32"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000451,"2200|33"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000457,"2200|34"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000463,"2200|35"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000469,"2200|47"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000474,"2200|41"
"2014-08-31 09:08:15","AIR:401000000","building-cog",401000479,"2200|40|l|1"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000490,"2300|1"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000496,"2300|2"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000502,"2300|3"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000507,"2300|4"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000513,"2300|39"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000519,"2300|41"
"2014-08-31 09:08:15","AIR:401000000","building-cog",401000524,"2300|37|s|1"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000526,"2300|9"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000532,"2300|14"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000537,"2300|36"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000542,"2300|5"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000547,"2300|34"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000553,"2300|29"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000559,"2300|30"
"2014-08-31 09:08:15","AIR:401000000","building-cog",401000565,"2300|18|s|2"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000567,"2300|31"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000573,"2300|21"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000578,"2300|22"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000584,"2300|33"
"2014-08-31 09:08:15","AIR:401000000","building-cog",401000589,"2300|24|c|1"
"2014-08-31 09:08:15","AIR:401000000","building-toon",401000591,"2300|23"
"2014-08-31 09:08:15","AIR:401000000","ai-exception",0,0,"toontown.suit.DistributedSuitPlannerAI:57, toontown.hood.HoodAI:181, toontown.hood.HoodAI:63, toontown.hood.TTHoodAI:21, TypeError: 'module' object has no attribute '__getitem__'"
"2014-08-31 09:08:21","AIR:401000000","building-toon",401000050,"2000|18"
"2014-08-31 09:08:21","AIR:401000000","building-toon",401000056,"2000|14"
"2014-08-31 09:08:21","AIR:401000000","building-toon",401000063,"2000|16"
"2014-08-31 09:08:21","AIR:401000000","building-toon",401000069,"2000|21"
"2014-08-31 09:08:21","AIR:401000000","building-toon",401000075,"2000|13"
"2014-08-31 09:08:21","AIR:401000000","building-toon",401000104,"2100|1"
"2014-08-31 09:08:21","AIR:401000000","building-toon",401000110,"2100|2"
"2014-08-31 09:08:21","AIR:401000000","building-toon",401000115,"2100|3"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000121,"2100|4"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000127,"2100|6"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000132,"2100|7"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000138,"2100|10"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000144,"2100|11"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000149,"2100|16"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000155,"2100|18"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000161,"2100|17"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000167,"2100|21"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000173,"2100|24"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000179,"2100|25"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000185,"2100|26"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000191,"2100|29"
"2014-08-31 09:08:22","AIR:401000000","building-cog",401000197,"2100|32|s|3"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000199,"2100|33"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000205,"2100|38"
"2014-08-31 09:08:22","AIR:401000000","building-cog",401000210,"2100|57|c|1"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000212,"2100|39"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000218,"2100|43"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000224,"2100|44"
"2014-08-31 09:08:22","AIR:401000000","building-cog",401000230,"2100|49|c|1"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000232,"2100|60"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000238,"2100|52"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000243,"2100|53"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000248,"2100|55"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000254,"2100|54"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000260,"2100|56"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000266,"2100|59"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000272,"2100|61"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000278,"2100|67"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000284,"2100|63"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000289,"2100|62"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000295,"2100|64"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000301,"2100|66"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000307,"2100|65"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000313,"2100|69"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000319,"2100|70"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000334,"2200|1"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000339,"2200|4"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000344,"2200|5"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000350,"2200|8"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000356,"2200|43"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000361,"2200|44"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000366,"2200|11"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000372,"2200|12"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000378,"2200|13"
"2014-08-31 09:08:22","AIR:401000000","building-cog",401000384,"2200|14|l|2"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000386,"2200|16"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000392,"2200|48"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000397,"2200|17"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000403,"2200|20"
"2014-08-31 09:08:22","AIR:401000000","building-cog",401000409,"2200|39|l|2"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000411,"2200|25"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000416,"2200|27"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000422,"2200|28"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000428,"2200|30"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000434,"2200|29"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000440,"2200|31"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000445,"2200|32"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000451,"2200|33"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000457,"2200|34"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000463,"2200|35"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000469,"2200|47"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000474,"2200|41"
"2014-08-31 09:08:22","AIR:401000000","building-cog",401000479,"2200|40|l|1"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000490,"2300|1"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000496,"2300|2"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000502,"2300|3"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000507,"2300|4"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000513,"2300|39"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000519,"2300|41"
"2014-08-31 09:08:22","AIR:401000000","building-cog",401000524,"2300|37|s|1"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000526,"2300|9"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000532,"2300|14"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000537,"2300|36"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000542,"2300|5"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000547,"2300|34"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000553,"2300|29"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000559,"2300|30"
"2014-08-31 09:08:22","AIR:401000000","building-cog",401000565,"2300|18|s|2"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000567,"2300|31"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000573,"2300|21"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000578,"2300|22"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000584,"2300|33"
"2014-08-31 09:08:22","AIR:401000000","building-cog",401000589,"2300|24|c|1"
"2014-08-31 09:08:22","AIR:401000000","building-toon",401000591,"2300|23"
"2014-08-31 09:08:22","AIR:401000000","ai-exception",0,0,"toontown.suit.DistributedSuitPlannerAI:57, toontown.hood.HoodAI:181, toontown.hood.HoodAI:63, toontown.hood.TTHoodAI:21, TypeError: 'module' object has no attribute '__getitem__'"
"2014-08-31 09:08:48","Client:1000000012","client-lost"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000050,"2000|18"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000056,"2000|14"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000063,"2000|16"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000069,"2000|21"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000075,"2000|13"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000104,"2100|1"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000110,"2100|2"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000115,"2100|3"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000121,"2100|4"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000127,"2100|6"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000132,"2100|7"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000138,"2100|10"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000144,"2100|11"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000149,"2100|16"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000155,"2100|18"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000161,"2100|17"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000167,"2100|21"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000173,"2100|24"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000179,"2100|25"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000185,"2100|26"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000191,"2100|29"
"2014-08-31 09:10:31","AIR:401000000","building-cog",401000197,"2100|32|s|3"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000199,"2100|33"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000205,"2100|38"
"2014-08-31 09:10:31","AIR:401000000","building-cog",401000210,"2100|57|c|1"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000212,"2100|39"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000218,"2100|43"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000224,"2100|44"
"2014-08-31 09:10:31","AIR:401000000","building-cog",401000230,"2100|49|c|1"
"2014-08-31 09:10:31","AIR:401000000","building-toon",401000232,"2100|60"
